basic:
search - https://informatics.msk.ru/mod/statements/view.php?id=54422#1 +
heap - https://informatics.msk.ru/mod/statements/view.php?id=1234#1 (E)
additional problems:
1) search:
https://leetcode.com/problems/search-insert-position/ +
https://leetcode.com/problems/sqrtx/ +
https://leetcode.com/problems/first-bad-version/ +
https://leetcode.com/problems/intersection-of-two-arrays/ +
https://leetcode.com/problems/intersection-of-two-arrays-ii/ +
https://leetcode.com/problems/valid-perfect-square/ +
https://leetcode.com/problems/guess-number-higher-or-lower/ +
https://leetcode.com/problems/arranging-coins/ +
https://leetcode.com/problems/find-smallest-letter-greater-than-target/ +
 
 
2) heap:   
https://leetcode.com/explore/challenge/card/september-leetcoding-challenge-2021/638/week-3-september-15th-september-21st/3978/ +
https://leetcode.com/problems/relative-ranks/ +
https://leetcode.com/problems/kth-largest-element-in-a-stream/ +
https://leetcode.com/problems/last-stone-weight/ +
https://leetcode.com/problems/the-k-weakest-rows-in-a-matrix/ +
https://leetcode.com/problems/maximum-product-of-two-elements-in-an-array/ +
https://leetcode.com/problems/kth-largest-element-in-an-array/ +
 

